【關於】,#genre#
有線18台,http://116.205.130.205:66/6/807tv.php?tid=gt&id=20


有線603台,http://116.205.130.205:66/6/807tv.php?tid=gt&id=21

MyTV super#待添加

TVB經典台#待添加

TVB星河,http://v2h.jdshipin.com/xinghe_1/xinghe_1.stream/chunklist_w106.m3u8

TVB功夫,http://v2h.jdshipin.com/asia_action1/1asia_action.stream/chunklist_w101.m3u8

Now Sports,http://116.205.130.205:66/6/807tv.php?tid=gt&id=12

NOW新聞台,http://116.205.130.205:66/6/807tv.php?tid=gt&id=13
✈NOW新聞台,http://livetv.dnsfor.me:80/channel.4.m3u8

NOW財經台&待添加

香港開電視,http://bziyunshao.synology.me:8890/bysid/77

香港開電視資訊,http://bziyunshao.synology.me:8891/bysid/78




🇹🇼台,#genre#
豬哥亮歌廳秀,http://litv.zapi.us.kg/?id=4gtv-4gtv006
✈豬哥亮歌廳秀,https://stream.naihe.cf/api/v2/channel3.m3u8?hd=1080&fid=4gtv-4gtv006

民視 HD,http://litv.zapi.us.kg/?id=4gtv-4gtv002
民視 HD,http://litv.zapi.us.kg/?id=4gtv-4gtv155
民視 HD,rtmp://f13h.mine.nu/sat/tv051

✈民視 HD,https://stream.naihe.cf/api/v2/channel3.m3u8?hd=1080&fid=4gtv-4gtv002

台視 HD,http://litv.zapi.us.kg/?id=4gtv-4gtv066
台視 HD,rtmp://f13h.mine.nu/sat/tv071


中視 HD,http://litv.zapi.us.kg/?id=4gtv-4gtv040
中視 HD,rtmp://f13h.mine.nu/sat/tv091


✈中視 HD,https://stream.naihe.cf/api/v2/channel3.m3u8?hd=1080&fid=4gtv-4gtv040

華視 HD,http://litv.zapi.us.kg/?id=4gtv-4gtv041
華視 HD,rtmp://f13h.mine.nu/sat/tv111


✈華視 HD,https://stream.naihe.cf/api/v2/channel3.m3u8?hd=1080&fid=4gtv-4gtv041

公視 HD,http://123.58.201.173:52411/test/lshotel.php?id=5


公視台語台&待添加


公視3&待添加

民視新聞台,http://litv.zapi.us.kg/?id=litv-ftv13
✈民視新聞台,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV17.m3u8
✈民視新聞台,https://stream.naihe.cf/api/v2/channel3.m3u8?hd=1080&fid=litv-ftv13
✈民視新聞台,https://ytm2.yuanhsing.cf/FTVCP.m3u8
✈民視新聞台,http://tv.redrainl.site:9500/live.m3u8?c=1
✈民視新聞台,http://tv.redrainl.site:9500/live.m3u8?c=01
✈民視新聞台,http://198.16.64.10:8278/ftvnew_taiwan/playlist.m3u8?tid=ME4E4172771041727710&ct=19226&tsum=7b91c7af6212419479b392ff575e0689


台視新聞台,http://litv.zapi.us.kg/?id=4gtv-4gtv051
✈台視新聞台,https://raw.githubusercontent.com/etag2000/IPTV/YTlive/ttvnews.m3u8
✈台視新聞台,https://git.io/JgkxY
✈台視新聞台,http://tv.redrainl.site:9500/live.m3u8?c=11
✈台視新聞台,https://ytm2.yuanhsing.cf/ttvnewsview.m3u8


台視財經&待添加

中視新聞,http://litv.zapi.us.kg/?id=4gtv-4gtv074
✈中視新聞,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV09.m3u8
✈中視新聞,https://git.io/Jgkxz
✈中視新聞,http://tv.redrainl.site:9500/live.m3u8?c=2
✈中視新聞,http://tv.redrainl.site:9500/live.m3u8?c=02
✈中視新聞,https://ytm2.yuanhsing.cf/twctvnews.m3u8
✈中視新聞,https://stream.naihe.cf/api/v2/channel3.m3u8?hd=1080&fid=4gtv-4gtv074

華視新聞資訊,http://litv.zapi.us.kg/?id=4gtv-4gtv052
華視新聞資訊,http://www.336699.live:1935/blockfour/4gtv-4gtv052.stream/playlist.m3u8&備用

TVBS新聞台,http://litv.zapi.us.kg/?id=4gtv-4gtv072
TVBS新聞台,rtmp://f13h.mine.nu/sat/tv551 
✈TVBS新聞台,https://stream.naihe.cf/api/v2/channel3.m3u8?hd=1080&fid=4gtv-live072

TVBS財經台,https://2023.stream-link.org/playlist/tvbs.tv

年代新聞,http://123.58.201.173:52411/test/lshotel.php?id=39

東森新聞,http://litv.zapi.us.kg/?id=4gtv-4gtv152
✈東森新聞,https://stream.naihe.cf/api/v2/channel3.m3u8?hd=1080&fid=4gtv-live114

東森財經新聞,http://litv.zapi.us.kg/?id=4gtv-4gtv153
東森財經新聞,rtmp://f13h.mine.nu/sat/tv571
✈東森財經新聞,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV03.m3u8
✈東森財經新聞,https://ytm2.yuanhsing.cf/EBCFinancial.m3u8
✈東森財經新聞,https://stream.naihe.cf/api/v2/channel3.m3u8?hd=1080&fid=4gtv-live019

三立新聞,https://2023.stream-link.org/playlist/set_news.tv
三立新聞,http://123.58.201.173:52411/test/lshotel.php?id=43

三立iNEWS新聞,https://2023.stream-link.org/playlist/set_inews.tv
✈三立iNEWS新聞,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV01.m3u8
✈三立iNEWS新聞,https://ytm2.yuanhsing.cf/setmoney159.m3u8
✈三立iNEWS新聞,http://tv.redrainl.site:9500/live.m3u8?c=51
✈三立iNEWS新聞,https://git.io/Jgkxj
✈三立iNEWS新聞,https://raw.githubusercontent.com/etag2000/IPTV/YTlive/setlive.m3u8
✈三立iNEWS新聞,https://stream.naihe.cf/api/v2/channel3.m3u8?hd=1080&fid=4gtv-live089

三立iNEWS+新聞https://2023.stream-link.org/playlist/set_news+.tv

中天新聞,http://litv.zapi.us.kg/?id=4gtv-4gtv009
✈中天新聞,http://tv.redrainl.site:9500/live.m3u8?c=3
✈中天新聞,http://tv.redrainl.site:9500/live.m3u8?c=03
✈中天新聞,https://stream.naihe.cf/api/v2/channel3.m3u8?hd=1080&fid=4gtv-4gtv009


壹新聞,http://123.58.201.173:52411/test/lshotel.php?id=50


非凡新聞,http://litv.zapi.us.kg/?id=4gtv-4gtv010
非凡新聞,rtmp://f13h.mine.nu/sat/tv581

非凡商業,http://litv.zapi.us.kg/?id=4gtv-4gtv048

寰宇新聞台,http://litv.zapi.us.kg/?id=litv-longturn14
✈寰宇新聞台,https://raw.githubusercontent.com/etag2000/IPTV/YTlive/hyxw.m3u8
✈寰宇新聞台,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV02.m3u8
✈寰宇新聞台,http://tv.redrainl.site:9500/live.m3u8?c=22
✈寰宇新聞台,https://ytm2.yuanhsing.cf/GlobalNewsTV.m3u8


寰宇新聞台灣台,http://litv.zapi.us.kg/?id=litv-longturn15
✈寰宇新聞台灣台,https://git.io/JgkpO
✈寰宇新聞台灣台,https://raw.githubusercontent.com/etag2000/IPTV/YTlive/hyxw.m3u8
✈寰宇新聞台灣台,https://stream.naihe.cf/api/v2/channel3.m3u8?hd=1080&fid=litv-longturn14

寰宇財經台&待添加


衛視電影台,http://123.58.201.173:52411/test/lshotel.php?id=54

好萊塢電影,https://pull-l3-cny.douyincdn.com/live/06027cd7cadf310982fe67221578515b.m3u8
好萊塢電影,http://123.58.201.173:52411/test/lshotel.php?id=55
好萊塢電影,https://pull-l3-cny.douyincdn.com/live/06027cd7cadf310982fe67221578515b.m3u8


緯來電影,http://123.58.201.173:52411/test/lshotel.php?id=56


龍華電影,http://litv.zapi.us.kg/?id=litv-longturn03
✈龍華電影,https://stream.naihe.cf/api/v2/channel3.m3u8?hd=1080&fid=litv-longturn03

龍華洋片&待添加


影迷數位電影台,http://litv.zapi.us.kg/?id=4gtv-4gtv011
✈影迷數位電影台,https://stream.naihe.cf/api/v2/channel3.m3u8?hd=1080&fid=4gtv-4gtv011

東森電影,https://pull-l3-cny.douyincdn.com/live/3d50d525417f450fdbc3fbbf5ac32960.m3u8
東森電影,http://120.84.96.196:808/hls/32/index.m3u8
東森電影,http://120.84.96.78:808/hls/32/index.m3u8&備用

東森洋片,https://pull-l3-cny.douyincdn.com/live/ed503be0a61dc988e0a7d9e1f57a1885.m3u8
東森洋片,http://120.84.96.196:808/hls/33/index.m3u8
東森洋片,http://120.84.96.78:808/hls/33/index.m3u8&備用
東森洋片,http://107.151.203.111:2209/135/hk.php?id=dsypt&備用

龍祥時代,https://pull-l3-cny.douyincdn.com/live/c32278dece9f79334a2a878aaa730e95.m3u8
龍祥時代,http://120.84.96.196:808/hls/35/index.m3u8

靖天電影台,http://litv.zapi.us.kg/?id=4gtv-4gtv061
靖天電影台,https://epg.pm/stream/9fa6de2761cb2aaac866db385868a1c4a4b1897e62dd7686d6cda9aa23936172.m3u8
✈靖天電影台,https://stream.naihe.cf/api/v2/channel3.m3u8?hd=1080&fid=4gtv-4gtv061

民視台灣台,http://litv.zapi.us.kg/?id=4gtv-4gtv001
民視台灣台,http://litv.zapi.us.kg/?id=4gtv-4gtv156
✈民視台灣台,https://stream.naihe.cf/api/v2/channel3.m3u8?hd=1080&fid=4gtv-4gtv001

民視第一台,http://litv.zapi.us.kg/?id=4gtv-4gtv003
✈民視第一台,https://stream.naihe.cf/api/v2/channel3.m3u8?hd=1080&fid=4gtv-4gtv003

台視綜合&待添加

FTV綜藝(民視綜藝),http://www.336699.live:1935/blockfour/4gtv-4gtv004.stream/playlist.m3u8


中視經典,http://litv.zapi.us.kg/?id=4gtv-4gtv080
✈中視經典,https://stream.naihe.cf/api/v2/channel3.m3u8?hd=1080&fid=4gtv-4gtv080


中視菁采,http://litv.zapi.us.kg/?id=4gtv-4gtv064
✈中視菁采,https://stream.naihe.cf/api/v2/channel3.m3u8?hd=1080&fid=4gtv-4gtv064


華視體育文化&待添加

台灣戲劇台,http://litv.zapi.us.kg/?id=litv-longturn22

公視戲劇,http://litv.zapi.us.kg/?id=4gtv-4gtv042

TVBS HD,http://litv.zapi.us.kg/?id=4gtv-4gtv073
TVBS HD,http://www.336699.live:1935/blockfour/4gtv-4gtv073.stream/playlist.m3u8&備用
✈TVBS HD,https://stream.naihe.cf/api/v2/channel3.m3u8?hd=1080&fid=4gtv-4gtv073


TVBS直播$未辨别

TVBS歡樂台,http://litv.zapi.us.kg/?id=4gtv-4gtv068
TVBS歡樂台,rtmp://f13h.mine.nu/sat/tv421 
✈TVBS歡樂台,https://stream.naihe.cf/api/v2/channel3.m3u8?hd=1080&fid=4gtv-4gtv068

東森綜合,http://123.58.201.173:52411/test/lshotel.php?id=24

東森幼幼,https://2023.stream-link.org/playlist/ebc_yoyo.tv


東森超視,rtmp://f13h.mine.nu/sat/tv331

東森戲劇,http://123.58.201.173:52411/test/lshotel.php?id=30

八大綜合台,http://61.221.215.25:8800/hls/56/index.m3u8
八大綜合台,http://www.336699.live:1935/blockfour/4gtv-4gtv039.stream/playlist.m3u8
✈八大綜合台,https://stream.naihe.cf/api/v2/channel3.m3u8?hd=1080&fid=4gtv-4gtv039

八大第一台,http://61.221.215.25:8800/hls/55/index.m3u8

八大戲劇台,http://123.58.201.173:52411/test/lshotel.php?id=31

八大娛樂台&待添加

八大精彩台,http://litv.zapi.us.kg/?id=4gtv-4gtv034

八大綜藝台,http://litv.zapi.us.kg/?id=4gtv-4gtv039

緯來綜合台,http://123.58.201.173:52411/test/lshotel.php?id=18

緯來戲劇,https://pull-l3-cny.douyincdn.com/live/cf93b19e055f2800058541033c0c4355.m3u8
緯來戲劇,http://123.58.201.173:52411/test/lshotel.php?id=33


緯來日本,rtmp://f13h.mine.nu/sat/tv771
緯來日本,http://baidu.douyincdn.freetvtv.com/wlrb/m2.m3u8

緯來育樂,rtmp://f13h.mine.nu/sat/tv701

緯來體育,rtmp://f13h.mine.nu/sat/tv721

緯來精采,http://61.221.215.25:8800/hls/48/index.m3u8

靖天綜合台,http://litv.zapi.us.kg/?id=4gtv-4gtv046

靖天資訊台,http://litv.zapi.us.kg/?id=4gtv-4gtv065
✈靖天資訊台,https://stream.naihe.cf/api/v2/channel3.m3u8?hd=1080&fid=4gtv-4gtv065

靖天歡樂台,http://litv.zapi.us.kg/?id=4gtv-4gtv054
靖天歡樂台,https://epg.pm/stream/9769df2e1a2ba12009747d6ddd1ff1f38d6b9861b3ea4986539a21cabb1f0ddc.m3u8
✈靖天歡樂台,https://stream.naihe.cf/api/v2/channel3.m3u8?hd=1080&fid=4gtv-4gtv054

靖天日本台,http://litv.zapi.us.kg/?id=4gtv-4gtv047
靖天日本台,https://epg.pm/stream/c6d33420f57fe5f24617c15006265ed2839e3457cc894110d1f54e6302d58bd5.m3u8

靖天卡通台,http://litv.zapi.us.kg/?id=4gtv-4gtv044
靖天卡通台,https://epg.pm/stream/a573cf9d61a653dbf527f3b304c5a5fe4cd589b139e8a91e9eaafffbe1775d94.m3u8

靖天映畫,http://litv.zapi.us.kg/?id=4gtv-4gtv055
靖天映畫,https://epg.pm/stream/691594da9dc5f64c751d9ec4325ce175717d48d14e5f907ce34cf06bed1c3244.m3u8
✈靖天映畫,https://stream.naihe.cf/api/v2/channel3.m3u8?hd=1080&fid=4gtv-4gtv055

靖天育樂台,http://litv.zapi.us.kg/?id=4gtv-4gtv062
靖天育樂台,https://epg.pm/stream/172fa1ed8f426842682c6292ca8d56a2f17ac5697ad05c598a82a9fca7a5f32b.m3u8
✈靖天育樂台,https://stream.naihe.cf/api/v2/channel3.m3u8?hd=1080&fid=4gtv-4gtv062

靖天國際台,http://litv.zapi.us.kg/?id=4gtv-4gtv063
靖天國際台,https://epg.pm/stream/2acc98d709b8d8d5cd59370aeec21f3e254af1b13e06f803e12157820265ab9b.m3u8
✈靖天國際台,https://stream.naihe.cf/api/v2/channel3.m3u8?hd=1080&fid=4gtv-4gtv063

靖天戲劇台,http://litv.zapi.us.kg/?id=4gtv-4gtv058
靖天戲劇台,https://epg.pm/stream/9427f507641ac58ad3c8226a4e9c050c531584de20783a7a93689e9d6c977b17.m3u8


靖洋戲劇台,http://litv.zapi.us.kg/?id=4gtv-4gtv045

靖洋卡通台,http://litv.zapi.us.kg/?id=4gtv-4gtv057

衛視中文台,http://123.58.201.173:52411/test/lshotel.php?id=23

三立綜合台&待添加
✈三立綜合台,https://stream.naihe.cf/api/v2/channel3.m3u8?hd=1080&fid=4gtv-live207

三立台灣台,http://123.58.201.173:52411/test/lshotel.php?id=21

三立都會台,http://123.58.201.173:52411/test/lshotel.php?id=22

三立戲劇台,http://61.221.215.25:8800/hls/41/index.m3u8

中天綜合,https://pull-l3-cny.douyincdn.com/live/5f26752efeee9e0c53cf6b530640ce60.m3u8
中天綜合,https://2023.stream-link.org/playlist/cti_zh.tv
中天綜合,http://123.58.201.173:52411/test/lshotel.php?id=26
中天綜合,http://23.237.10.66:16372&備用

中天亞洲&待添加

中天娛樂,http://61.221.215.25:8800/hls/47/index.m3u8
中天娛樂,http://123.58.201.173:52411/test/lshotel.php?id=27

MoMo綜合,rtmp://f13h.mine.nu/sat/tv761

MoMo親子台&待添加

JET綜合&待添加

龍華經典,http://litv.zapi.us.kg/?id=litv-longturn21

龍華戲劇,http://litv.zapi.us.kg/?id=litv-longturn18

龍華日韓,http://litv.zapi.us.kg/?id=litv-longturn11

龍華偶像,http://litv.zapi.us.kg/?id=litv-longturn12

龍華卡通,http://litv.zapi.us.kg/?id=litv-longturn01


大愛1台,https://pulltv1.wanfudaluye.com/live/tv1.m3u8
大愛1台,https://pulltv2.wanfudaluye.com/live/tv1.m3u8
✈大愛1台,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV30.m3u8
✈大愛1台,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV48.m3u8
大愛2台,https://pulltv1.wanfudaluye.com/live/tv2.m3u8
大愛2台,https://pulltv2.wanfudaluye.com/live/tv2.m3u8
✈大愛2台,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV47.m3u8

🇲🇴澳,#genre#
澳視澳門,http://61.244.22.5/ch1/_definst_/ch1.live/playlist.m3u8
澳視澳門,http://61.244.22.5/ch1/ch1.live/index.m3u8
澳視澳門,http://61.244.22.5/ch1/ch1.live/master.m3u8
澳視澳門,http://61.244.22.5/ch1/ch1.live/playelist.m3u8
澳視澳門,http://61.244.22.5/ch1/ch1.live/playlist.m3u8
澳視澳門,http://live4.tdm.com.mo/ch1/_definst_//ch1.live/playlist.m3u8


澳門葡文,http://61.244.22.5/ch2/_definst_/ch2.live/playlist.m3u8
澳門葡文,http://61.244.22.5/ch2/ch2.live/index.m3u8
澳門葡文,http://61.244.22.5/ch2/ch2.live/master.m3u8
澳門葡文,http://61.244.22.5/ch2/ch2.live/playelist.m3u8
澳門葡文,http://61.244.22.5/ch2/ch2.live/playlist.m3u8
澳門葡文,http://live4.tdm.com.mo/ch2/_definst_//ch2.live/playlist.m3u8


澳門Macau,http://61.244.22.5/ch3/_definst_/ch3.live/playlist.m3u8
澳門Macau,http://61.244.22.5/ch3/ch3.live/index.m3u8
澳門Macau,http://61.244.22.5/ch3/ch3.live/master.m3u8
澳門Macau,http://61.244.22.5/ch3/ch3.live/playelist.m3u8
澳門Macau,http://61.244.22.5/ch3/ch3.live/playlist.m3u8
澳門Macau,http://live4.tdm.com.mo/ch3/_definst_//ch3.live/playlist.m3u8
澳門Macau,http://live4.tdm.com.mo/ch3/_definst_/ch3.live/playlist.m3u8


澳門體育,http://61.244.22.5/ch4/_definst_/sport_ch4.live/playlist.m3u8
澳門體育,http://61.244.22.5/ch4/sport_ch4.live/index.m3u8
澳門體育,http://61.244.22.5/ch4/sport_ch4.live/master.m3u8
澳門體育,http://61.244.22.5/ch4/sport_ch4.live/playelist.m3u8
澳門體育,http://61.244.22.5/ch4/sport_ch4.live/playlist.m3u8
澳門體育,http://live4.tdm.com.mo/ch4/_definst_//sport_ch4.live/playlist.m3u8

澳門資訊,http://61.244.22.5/ch5/_definst_/info_ch5.live/playlist.m3u8
澳門資訊,http://61.244.22.5/ch5/info_ch5.live/index.m3u8
澳門資訊,http://61.244.22.5/ch5/info_ch5.live/master.m3u8
澳門資訊,http://61.244.22.5/ch5/info_ch5.liveplayelist.m3u8
澳門資訊,http://61.244.22.5/ch5/info_ch5.live/playlist.m3u8
澳門資訊,http://live4.tdm.com.mo/ch5/_definst_//info_ch5.live/playlist.m3u8

澳門綜藝,http://61.244.22.5/ch6/_definst_/hd_ch6.live/playlist.m3u8
澳門綜藝,http://61.244.22.5/ch6/hd_ch6.live/index.m3u8
澳門綜藝,http://61.244.22.5/ch6/hd_ch6.live/master.m3u8
澳門綜藝,http://61.244.22.5/ch6/hd_ch6.live/playelist.m3u8
澳門綜藝,http://61.244.22.5/ch6/hd_ch6.live/playlist.m3u8
澳門綜藝,http://live4.tdm.com.mo/ch6/_definst_//hd_ch6.live/playlist.m3u8

澳門蓮花(Lotus Macau),http://php.jdshipin.com/amlh.php
澳門蓮花(Lotus Macau),http://120.84.96.78:808/hls/24/index.m3u8



未整合1,#genre#
民視台灣台[1280*720],http://www.336699.live:1935/blockfour/4gtv-4gtv001.stream/playlist.m3u8
FTV綜藝(民視綜藝)[1280*720],http://www.336699.live:1935/blockfour/4gtv-4gtv004.stream/playlist.m3u8
民視第一台[1280*720],http://www.336699.live:1935/blockfour/4gtv-4gtv003.stream/playlist.m3u8
民視 HD[1280*720],http://www.336699.live:1935/blockfour/4gtv-4gtv002.stream/playlist.m3u8
豬哥亮歌廳秀[1280*720],http://www.336699.live:1935/blockfour/4gtv-4gtv006.stream/playlist.m3u8
中天新聞[1280*720],http://www.336699.live:1935/blockfour/4gtv-4gtv009.stream/playlist.m3u8
影迷數位電影台[1280*720],http://www.336699.live:1935/blockfour/4gtv-4gtv011.stream/playlist.m3u8
CNEX紀實頻道[1280*720],http://www.336699.live:1935/blockfour/4gtv-4gtv013.stream/playlist.m3u8
時尚運動[1280*720],http://www.336699.live:1935/blockfour/4gtv-4gtv014.stream/playlist.m3u8
八大精彩台[1280*720],http://www.336699.live:1935/blockfour/4gtv-4gtv034.stream/playlist.m3u8
華視 HD[1280*720],http://www.336699.live:1935/blockfour/4gtv-4gtv041.stream/playlist.m3u8
中視 HD[1280*720],http://www.336699.live:1935/blockfour/4gtv-4gtv040.stream/playlist.m3u8
八大綜合台[1280*720],http://www.336699.live:1935/blockfour/4gtv-4gtv039.stream/playlist.m3u8
HakkaTV(客家電視台)[1280*720],http://www.336699.live:1935/blockfour/4gtv-4gtv043.stream/playlist.m3u8
公視戲劇[1280*720],http://www.336699.live:1935/blockfour/4gtv-4gtv042.stream/playlist.m3u8
靖天卡通台[1280*720],http://www.336699.live:1935/blockfour/4gtv-4gtv044.stream/playlist.m3u8
靖洋戲劇台[1280*720],http://www.336699.live:1935/blockfour/4gtv-4gtv045.stream/playlist.m3u8
靖天日本台[1280*720],http://www.336699.live:1935/blockfour/4gtv-4gtv047.stream/playlist.m3u8
采昌影劇台[1280*720],http://www.336699.live:1935/blockfour/4gtv-4gtv049.stream/playlist.m3u8
華視新聞資訊[1280*720],http://www.336699.live:1935/blockfour/4gtv-4gtv052.stream/playlist.m3u8
GINX Esports[1280*720],http://www.336699.live:1935/blockfour/4gtv-4gtv053.stream/playlist.m3u8
靖天歡樂台[1280*720],http://www.336699.live:1935/blockfour/4gtv-4gtv054.stream/playlist.m3u8
靖天映畫[1280*720],http://www.336699.live:1935/blockfour/4gtv-4gtv055.stream/playlist.m3u8
